학교종류명,설립구분,표준학교코드,학교명,영문학교명,관할조직명,남녀공학구분명,고등학교구분명,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,주야과정,계열명,학과명
고등학교,사립,7041275,지구촌학교 고등학교,Global School,서울특별시남부교육지원청,남여공학,,,,전기,주간,20230301,20111115,주간,일반계,일반학과
중학교,사립,7041274,지구촌학교 중학교,Global School,서울특별시남부교육지원청,남여공학,,,,전기,주간,20230301,20111115,,,
초등학교,공립,7041267,서울항동초등학교,Seoul Hangdong Elementary School,서울특별시남부교육지원청,남여공학,,,,전기,주간,20190301,20190501,,,
초등학교,공립,7041266,서울하늘숲초등학교,Seoul Haneulsup Elementary School,서울특별시남부교육지원청,남여공학,,,,전기,주간,20190501,20190501,,,
중학교,공립,7041262,항동중학교,Hang-dong,서울특별시남부교육지원청,남여공학,,,,전기,주간,20200301,20200301,,,
초등학교,공립,7041254,서울천이초등학교,.,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,20160329,20160329,,,
중학교,공립,7041238,천왕중학교,Cheonwang Middle School,서울특별시남부교육지원청,남여공학,,해당없음,,전기,주간,20130301,20130301,,,
초등학교,사립,7041214,지구촌학교,The Global School,서울특별시남부교육지원청,남여공학,,,,전기,주간,20110302,20111115,,,
초등학교,공립,7041209,서울천왕초등학교,Cheonwang Elementary School,서울특별시남부교육지원청,남여공학,,해당없음,,전기,주간,20110901,20110901,,,
중학교,사립,7041193,우신중학교,Wooshin Middle School,서울특별시남부교육지원청,남,,일반계,,전기,주간,19740105,19740305,,,
중학교,공립,7041192,오류중학교,Oryu Middle School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19760306,19760406,,,
중학교,공립,7041191,오남중학교,OHNAM Middle School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19880202,19880202,,,
중학교,공립,7041189,영서중학교,Yeongseo Middle School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19800124,19800303,,,
중학교,공립,7041188,영림중학교,Younglim Middle School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19790131,19791019,,,
중학교,공립,7041183,신도림중학교,Sindorim Middle School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19840109,19840506,,,
중학교,공립,7041170,구일중학교,Guil Middle School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19900120,19900120,,,
중학교,공립,7041169,구로중학교,Guro Middle School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19780105,19780105,,,
중학교,공립,7041168,고척중학교,Gocheok Middle School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19841208,19850506,,,
중학교,공립,7041167,경인중학교,Kyeongin Middle School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19691111,19691111,,,
중학교,공립,7041166,개웅중학교,Kaewoong Middle School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19870212,19870212,,,
중학교,공립,7041165,개봉중학교,Gaebong Middle School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19840504,19840504,,,
초등학교,공립,7041157,서울온수초등학교,Seoul Onsu Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19840127,19840919,,,
초등학교,공립,7041156,서울오정초등학교,Seoul Ojeong Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19860109,19860429,,,
초등학교,공립,7041155,서울오류초등학교,Seoul Oryu Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19430523,19430523,,,
초등학교,공립,7041154,서울오류남초등학교,Seoul Oryunam Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19820408,19820601,,,
초등학교,공립,7041152,서울영일초등학교,Seoul Young-il Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19671129,19671129,,,
초등학교,공립,7041149,서울영서초등학교,Seoul Youngseo Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19790202,19790928,,,
초등학교,공립,7041139,서울신미림초등학교,Seoul Sinmirim Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,20020301,20020607,,,
초등학교,공립,7041138,서울신도림초등학교,Seoul Sindorim Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19821022,19821022,,,
초등학교,공립,7041136,서울신구로초등학교,Seoul Sin-guro Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19821026,19821026,,,
초등학교,공립,7041134,서울세곡초등학교,Seoul Segok Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19721101,19721101,,,
초등학교,공립,7041131,서울미래초등학교,Seoul Mirae Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,20020301,20020301,,,
초등학교,공립,7041126,서울매봉초등학교,Seoul Maebong Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19850701,19851028,,,
초등학교,공립,7041124,서울동구로초등학교,Seoul Dong-guro Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19710901,19710404,,,
초등학교,공립,7041120,서울덕의초등학교,Seoul Duckyee Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19831201,19831201,,,
초등학교,공립,7041109,서울구일초등학교,Seoul Guil Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19871022,19871022,,,
초등학교,공립,7041108,서울구로초등학교,Seoul Guro Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19500620,19500620,,,
초등학교,공립,7041107,서울구로남초등학교,Seoul Guronam Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19640311,19640311,,,
초등학교,공립,7041106,서울고척초등학교,Seoul Gocheok Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19671206,19671206,,,
초등학교,공립,7041105,서울고원초등학교,Seoul Gowon Elementary School,서울특별시남부교육지원청,남여공학,,해당없음,,전기,주간,20040301,20040501,,,
초등학교,공립,7041104,서울고산초등학교,Seoul Kohsan Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19910902,19911029,,,
초등학교,공립,7041103,서울개웅초등학교,Seoul Gaewoong Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19980731,19980731,,,
초등학교,공립,7041102,서울개봉초등학교,Seoul Gaebong Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19710901,19711204,,,
초등학교,공립,7041101,서울개명초등학교,Seoul Kaemyeong Elementary School,서울특별시남부교육지원청,남여공학,,일반계,,전기,주간,19831203,19840504,,,
고등학교,사립,7011184,예림디자인고등학교,Yerim Design High School,서울특별시교육청,여,특성화고,전문계,,전기,주간,19651205,20211205,주간,상업계,웹디자인과
고등학교,사립,7011184,예림디자인고등학교,Yerim Design High School,서울특별시교육청,여,특성화고,전문계,,전기,주간,19651205,20211205,주간,상업계,경영정보과
고등학교,사립,7011184,예림디자인고등학교,Yerim Design High School,서울특별시교육청,여,특성화고,전문계,,전기,주간,19651205,20211205,주간,상업계,공통과정
고등학교,사립,7011184,예림디자인고등학교,Yerim Design High School,서울특별시교육청,여,특성화고,전문계,,전기,주간,19651205,20211205,주간,상업계,디자인경영과
고등학교,사립,7011184,예림디자인고등학교,Yerim Design High School,서울특별시교육청,여,특성화고,전문계,,전기,주간,19651205,20211205,주간,상업계,만화애니메이션과
고등학교,사립,7011184,예림디자인고등학교,Yerim Design High School,서울특별시교육청,여,특성화고,전문계,,전기,주간,19651205,20211205,주간,상업계,만화예술과
고등학교,사립,7011184,예림디자인고등학교,Yerim Design High School,서울특별시교육청,여,특성화고,전문계,,전기,주간,19651205,20211205,주간,상업계,사이버정보통신과
고등학교,사립,7011184,예림디자인고등학교,Yerim Design High School,서울특별시교육청,여,특성화고,전문계,,전기,주간,19651205,20211205,주간,상업계,시각디자인과
고등학교,사립,7011184,예림디자인고등학교,Yerim Design High School,서울특별시교육청,여,특성화고,전문계,,전기,주간,19651205,20211205,주간,상업계,패션스타일리스트과
고등학교,사립,7011184,예림디자인고등학교,Yerim Design High School,서울특별시교육청,여,특성화고,전문계,,전기,주간,19651205,20211205,주간,상업계,콘텐츠디자인과
